ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
100;3;0;97;NÃO;NÃO;SIM;CINE ARAÚJO PORTO VELHO;PORTO VELHO;RO;EMPRESA CINEMATOGRÁFICA ARAÇATUBA LTDA
91;3;1;87;SIM;NÃO;SIM;CINÉPOLIS ESTAÇÃO CUIABÁ;CUIABÁ;MT;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
81;3;3;75;SIM;NÃO;SIM;CINÉPOLIS ESTAÇÃO CUIABÁ;CUIABÁ;MT;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
78;3;3;72;SIM;SIM;SIM;CINEPOLIS SALVADOR NORTE;SALVADOR;BA;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
67;3;0;64;SIM;NÃO;SIM;CINEPOLIS IGUATEMI SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
433;7;0;56;SIM;NÃO;SIM;CINESYSTEM LONDRINA;LONDRINA;PR;REDECINE BRA CINEMATOGRÁFICA S.A.
166;2;2;54;SIM;NÃO;SIM;CINE SHOW CADIMA;NOVA FRIBURGO;RJ;TATU FILMES LTDA
397;9;0;52;SIM;NÃO;SIM;CINESYSTEM VILA VELHA;VILA VELHA;ES;REDECINE BRA CINEMATOGRÁFICA S.A.
136;4;0;52;SIM;NÃO;SIM;CINESYSTEM VILA VELHA;VILA VELHA;ES;REDECINE BRA CINEMATOGRÁFICA S.A.
289;6;12;48;SIM;NÃO;SIM;CINESYSTEM IMPERIAL SHOPPING;IMPERATRIZ;MA;REDECINE BRA CINEMATOGRÁFICA S.A.
245;8;0;48;SIM;NÃO;SIM;CINESYSTEM RIO GRANDE;RIO GRANDE;RS;REDECINE BRA CINEMATOGRÁFICA S.A.
202;6;0;48;SIM;NÃO;SIM;CINESYSTEM VILA VELHA;VILA VELHA;ES;REDECINE BRA CINEMATOGRÁFICA S.A.
135;4;0;48;SIM;NÃO;SIM;CINESYSTEM VILA VELHA;VILA VELHA;ES;REDECINE BRA CINEMATOGRÁFICA S.A.
